generation	AC	ID	AuROC	roc_auc	AuPR	pr_auc	parent_AC	parent_ID	selected
4	cluster_4_G4_M5_C9	cluster_4_G4_M5_C9	0.7594283521130839	0.7589548996321293	0.7526612529604765	0.750615987297789	cluster_4_G3_M5_C8	cluster_4_G3_M5_C8	0
4	cluster_4_G4_M2_C4	cluster_4_G4_M2_C4	0.7594047446629782	0.7594592011123018	0.7541619756231541	0.7520422004678833	cluster_4_G3_M2_C1	cluster_4_G3_M2_C1	0
4	cluster_4_G4_M5_C7	cluster_4_G4_M5_C7	0.7588861049155631	0.7584211974625612	0.7488449911559765	0.7468845166178066	cluster_4_G3_M5_C8	cluster_4_G3_M5_C8	0
4	cluster_4_G4_M5_C8	cluster_4_G4_M5_C8	0.7586729137097005	0.7582082959186629	0.7484088598690022	0.7461125672316953	cluster_4_G3_M5_C8	cluster_4_G3_M5_C8	0
4	cluster_4_G4_M5_C4	cluster_4_G4_M5_C4	0.7585547316281899	0.7580688236827622	0.75073264798219	0.7486098287437852	cluster_4_G3_M5_C8	cluster_4_G3_M5_C8	0
4	cluster_4_G4_M1_C4	cluster_4_G4_M1_C4	0.758413521420502	0.757916026996495	0.7573661334767787	0.7558344987007375	cluster_4_G3_M1_C8	cluster_4_G3_M1_C8	0
4	cluster_4_G4_M2_C7	cluster_4_G4_M2_C7	0.7582530486921761	0.757761492338441	0.7536745352417545	0.7508004992378534	cluster_4_G3_M2_C1	cluster_4_G3_M2_C1	0
4	cluster_4_G4_M3_C1	cluster_4_G4_M3_C1	0.7578027691683802	0.7573096196738407	0.7589950236894524	0.7563920778587823	cluster_4_G3_M2_C2	cluster_4_G3_M2_C2	0
4	cluster_4_G4_M2_C10	cluster_4_G4_M2_C10	0.7576218752715582	0.7571242360165686	0.7516669411050919	0.7481627467441604	cluster_4_G3_M2_C1	cluster_4_G3_M2_C1	0
4	cluster_4_G4_M4_C8	cluster_4_G4_M4_C8	0.7575147003446977	0.7570199577093533	0.7573336025061456	0.7554588739224376	cluster_4_G3_M4_C7	cluster_4_G3_M4_C7	0
4	cluster_4_G4_M3_C10	cluster_4_G4_M3_C10	0.7564665585261995	0.7559666019754945	0.7615386597511489	0.7590275708919965	cluster_4_G3_M2_C2	cluster_4_G3_M2_C2	0
4	cluster_4_G4_M1_C6	cluster_4_G4_M1_C6	0.7564336818932302	0.7559482084407496	0.7562256638391891	0.7545082974740681	cluster_4_G3_M1_C8	cluster_4_G3_M1_C8	0
4	cluster_4_G3_M1_C8	cluster_4_G3_M1_C8	0.7562869681082176	0.7558055499232397	0.7561967280193711	0.7546604412210529	cluster_4_G2_M3_C1	cluster_4_G2_M3_C1	0
4	cluster_4_G3_M4_C7	cluster_4_G3_M4_C7	0.7561335920980219	0.7556442082090201	0.7578227646878569	0.7559909207320761	cluster_4_G2_M3_C9	cluster_4_G2_M3_C9	0
4	cluster_4_G4_M3_C2	cluster_4_G4_M3_C2	0.7558791240622197	0.7553888711873245	0.7597287817295146	0.757263023247768	cluster_4_G3_M2_C2	cluster_4_G3_M2_C2	0
4	cluster_4_G4_M5_C1	cluster_4_G4_M5_C1	0.7555066187758882	0.7550472149002115	0.7461865150809515	0.7442614944394575	cluster_4_G3_M5_C8	cluster_4_G3_M5_C8	0
4	cluster_4_G3_M5_C8	cluster_4_G3_M5_C8	0.7555066187758882	0.7550472149002115	0.7461865150809515	0.7442614944394575	cluster_4_G2_M5_C8	cluster_4_G2_M5_C8	0
4	cluster_4_G4_M5_C3	cluster_4_G4_M5_C3	0.7555035773252606	0.7550234626191236	0.7476758722136057	0.7458026990846645	cluster_4_G3_M5_C8	cluster_4_G3_M5_C8	0
4	cluster_4_G4_M2_C9	cluster_4_G4_M2_C9	0.7550401181820816	0.7545595689829969	0.7490620425170158	0.7463708598751464	cluster_4_G3_M2_C1	cluster_4_G3_M2_C1	0
4	cluster_4_G4_M2_C2	cluster_4_G4_M2_C2	0.7543531848332999	0.753859021521884	0.7501427300566796	0.7472814886014584	cluster_4_G3_M2_C1	cluster_4_G3_M2_C1	0
4	cluster_4_G3_M2_C1	cluster_4_G3_M2_C1	0.7542292095124995	0.7537382324826927	0.7482117167085517	0.7452402996232377	cluster_4_G2_M3_C4	cluster_4_G2_M3_C4	0
4	cluster_4_G4_M3_C8	cluster_4_G4_M3_C8	0.7532181444254553	0.7527293398603829	0.7560397760604209	0.753691018704288	cluster_4_G3_M2_C2	cluster_4_G3_M2_C2	0
4	cluster_4_G4_M5_C2	cluster_4_G4_M5_C2	0.7529956840367292	0.7525294731048866	0.7431935221207003	0.7413081968475932	cluster_4_G3_M5_C8	cluster_4_G3_M5_C8	0
4	cluster_4_G4_M4_C10	cluster_4_G4_M4_C10	0.7527551197752222	0.7528145004779422	0.7528832662339842	0.7509913381942206	cluster_4_G3_M4_C7	cluster_4_G3_M4_C7	0
4	cluster_4_G4_M4_C6	cluster_4_G4_M4_C6	0.7518903339802454	0.751383425542392	0.7552167020629933	0.753430441854936	cluster_4_G3_M4_C7	cluster_4_G3_M4_C7	0
4	cluster_4_G4_M4_C9	cluster_4_G4_M4_C9	0.7500065173942008	0.7495207542797555	0.746489412229496	0.7444774301353174	cluster_4_G3_M4_C7	cluster_4_G3_M4_C7	0
4	cluster_4_G4_M1_C8	cluster_4_G4_M1_C8	0.7499407641282619	0.7494512354082786	0.7527271879030981	0.7511485761390999	cluster_4_G3_M1_C8	cluster_4_G3_M1_C8	0
4	cluster_4_G4_M4_C2	cluster_4_G4_M4_C2	0.7499391709874575	0.7494445731830953	0.7487443196094328	0.7471300543868895	cluster_4_G3_M4_C7	cluster_4_G3_M4_C7	0
4	cluster_4_G4_M4_C1	cluster_4_G4_M4_C1	0.7485244619529009	0.7485923876835734	0.7499348517169427	0.7482398665315562	cluster_4_G3_M4_C7	cluster_4_G3_M4_C7	0
4	cluster_4_G4_M3_C9	cluster_4_G4_M3_C9	0.748172088173102	0.7476818352982069	0.7552748146723285	0.752836237898531	cluster_4_G3_M2_C2	cluster_4_G3_M2_C2	0
4	cluster_4_G4_M2_C3	cluster_4_G4_M2_C3	0.7476418619471079	0.7471407467485445	0.7431824176103984	0.7402118468474642	cluster_4_G3_M2_C1	cluster_4_G3_M2_C1	0
4	cluster_4_G4_M4_C7	cluster_4_G4_M4_C7	0.7467050951539556	0.7462065869130723	0.7477408676837451	0.7464321161355453	cluster_4_G3_M4_C7	cluster_4_G3_M4_C7	0
4	cluster_4_G4_M3_C6	cluster_4_G4_M3_C6	0.7458471164151437	0.7453444080757756	0.7539153615440449	0.7514352145160496	cluster_4_G3_M2_C2	cluster_4_G3_M2_C2	0
4	cluster_4_G4_M2_C6	cluster_4_G4_M2_C6	0.7456966370245922	0.7451949425021	0.7408597102907297	0.7377952637125507	cluster_4_G3_M2_C1	cluster_4_G3_M2_C1	0
4	cluster_4_G4_M1_C1	cluster_4_G4_M1_C1	0.7446150392491961	0.744121020768763	0.74290183315278	0.7414933989805218	cluster_4_G3_M1_C8	cluster_4_G3_M1_C8	0
4	cluster_4_G4_M2_C8	cluster_4_G4_M2_C8	0.7441601251339686	0.7436645135127307	0.7347602943072462	0.7331192767019424	cluster_4_G3_M2_C1	cluster_4_G3_M2_C1	0
4	cluster_4_G4_M1_C5	cluster_4_G4_M1_C5	0.7424622715291254	0.7419592735277931	0.7427809296301592	0.7414676995287219	cluster_4_G3_M1_C8	cluster_4_G3_M1_C8	0
4	cluster_4_G4_M5_C6	cluster_4_G4_M5_C6	0.7419566665701125	0.7414680068360224	0.732850479028778	0.7316228368217467	cluster_4_G3_M5_C8	cluster_4_G3_M5_C8	0
4	cluster_4_G4_M2_C1	cluster_4_G4_M2_C1	0.7391491179793183	0.7392003881470324	0.7377490305592124	0.7347468925097526	cluster_4_G3_M2_C1	cluster_4_G3_M2_C1	0
4	cluster_4_G4_M5_C10	cluster_4_G4_M5_C10	0.7360840599020941	0.735596703646844	0.7236557339075587	0.7232762084621788	cluster_4_G3_M5_C8	cluster_4_G3_M5_C8	0
4	cluster_4_G4_M4_C5	cluster_4_G4_M4_C5	0.7325633635547315	0.7320551516380385	0.7366596202399002	0.7349039561066809	cluster_4_G3_M4_C7	cluster_4_G3_M4_C7	0
4	cluster_4_G4_M2_C5	cluster_4_G4_M2_C5	0.7230337745850592	0.7225352663441763	0.7234455154007022	0.7203459254673948	cluster_4_G3_M2_C1	cluster_4_G3_M2_C1	0
5	cluster_4_G5_M4_C1	cluster_4_G5_M4_C1	0.8190086319265415	0.8185931118384846	0.8102101444718556	0.8080373809951991	cluster_4_G4_M3_C5	cluster_4_G4_M3_C5	1
5	cluster_4_G5_M1_C6	cluster_4_G5_M1_C6	0.809076702488196	0.8086469889638792	0.7968229555562001	0.7956593714819494	cluster_4_G4_M1_C10	cluster_4_G4_M1_C10	1
5	cluster_4_G5_M4_C7	cluster_4_G5_M4_C7	0.8086653824986241	0.8082177099325087	0.8052431547684789	0.8029186310034199	cluster_4_G4_M3_C5	cluster_4_G4_M3_C5	1
5	cluster_4_G4_M3_C5	cluster_4_G4_M3_C5	0.8036080294296551	0.8031607913564869	0.8012067881599305	0.7988269085089147	cluster_4_G3_M2_C2	cluster_4_G3_M2_C2	1
5	cluster_4_G5_M4_C3	cluster_4_G5_M4_C3	0.8003719259624015	0.7999104944529734	0.7971863623702838	0.794661621832743	cluster_4_G4_M3_C5	cluster_4_G4_M3_C5	1
